event_dt,event_ts,latitude,longitude,temperature_C,salinity_ppt,tide,do_mg_l
2018-07-18,12:00:00,24.33195,-77.68746,NA,NA,NA,NA
2018-10-17,13:07:00,24.5867,-77.69345,NA,NA,NA,NA
2018-10-17,14:30:00,24.5867,-77.69345,NA,NA,NA,NA
2018-10-17,15:44:00,24.5867,-77.69345,NA,NA,NA,NA
2018-10-17,15:52:00,24.5867,-77.69345,NA,NA,NA,NA
2018-10-20,10:10:00,24.54883,-77.63503,NA,NA,NA,NA
2018-10-23,15:45:00,24.4105,-77.79701,NA,NA,NA,NA
2019-01-07,15:30:00,24.43573,-77.70523,NA,NA,NA,NA
2019-01-10,16:24:00,24.33166,-77.68358,NA,NA,NA,NA
2019-01-11,16:45:00,24.42868,-77.70989,NA,NA,NA,NA
2019-01-14,09:00:00,24.54883,-77.63503,NA,NA,NA,NA
2019-04-23,16:18:00,24.5867,-77.69345,NA,NA,NA,NA
2019-04-23,16:50:00,24.5867,-77.69345,NA,NA,NA,NA
2019-04-24,09:57:00,24.54883,-77.63503,NA,NA,NA,NA
2019-05-12,12:00:00,24.42868,-77.70989,NA,NA,NA,NA
2019-06-11,13:45:00,24.58891,-77.68858,27.33,NA,NA,NA
2019-06-13,10:17:00,24.71751,-77.80446,28.8,NA,NA,NA
2019-06-15,16:58:00,24.43936,-77.71518,29.7,37.1,Rising,6.84
2019-06-15,17:05:00,24.43856,-77.7143,29.7,37.3,Rising,6.81
2019-06-15,17:10:00,24.43803,-77.7104,29.6,37.3,Rising,6.63
2019-06-15,17:19:00,24.43745,-77.70825,29.3,37.2,Rising,6.76
2019-06-15,17:29:00,24.43678,-77.7056,28.4,36.9,Rising,6.35
2019-06-15,17:57:00,24.43936,-77.71518,29.7,37.1,High,6.84
2019-06-15,18:10:00,24.43856,-77.7143,29.6,37.3,High,6.63
2019-06-15,18:50:00,24.43803,-77.7104,28.7,37,High,6.5
2019-06-15,19:08:00,24.43745,-77.70825,28.5,36.9,High,6.52
2019-06-15,19:14:00,24.43678,-77.7056,28.4,36.9,High,6.35
2019-06-16,09:31:00,24.45567,-77.72871,28.3,36.4,Falling,6.23
2019-06-16,09:36:00,24.4533,-77.72861,28.1,36.9,Falling,6.04
