latitude,longitude,depth_m,substrate,habitat
24.33195,-77.68746,3,Sand & seagrass,Channel
24.5867,-77.69345,4,Sand & seagrass,Back reef
24.5867,-77.69345,4,Sand & seagrass,Back reef
24.5867,-77.69345,4,Sand & seagrass,Back reef
24.5867,-77.69345,4,Sand & seagrass,Back reef
24.54883,-77.63503,1100,Pelagic,Pelagic
24.4105,-77.79701,5,Seagrass & Silt,Channel
24.43573,-77.70523,3,Sand & seagrass,Channel
24.33166,-77.68358,3,Sand & seagrass,Channel
24.42868,-77.70989,3,Patch reef,Back reef
24.54883,-77.63503,1100,Pelagic,Pelagic
24.5867,-77.69345,5,Patch reef,Back reef
24.5867,-77.69345,5,Patch reef,Back reef
24.54883,-77.63503,1100,Pelagic,Pelagic
24.42868,-77.70989,4,Patch reef,Channel
24.58891,-77.68858,5.7,Sand & Rock,Back reef
24.71751,-77.80446,1.8,Sand,Channel
24.43936,-77.71518,2.7,Sand & seagrass,Flats
24.43856,-77.7143,3.4,Sand & seagrass,Flats
24.43803,-77.7104,3.4,Sand & octocorals,Flats
24.43745,-77.70825,2.7,Sand & seagrass,Flats
24.43678,-77.7056,3,Sand & seagrass,Flats
24.43936,-77.71518,2.7,Sand & seagrass,Flats
24.43856,-77.7143,3.4,Sand & seagrass,Flats
24.43803,-77.7104,4,Sand & octocorals,Flats
24.43745,-77.70825,3,Sand & seagrass,Flats
24.43678,-77.7056,4,Sand & seagrass,Flats
24.45567,-77.72871,2.4,Sand & seagrass,Flats
24.4533,-77.72861,2.8,Sand & seagrass,Flats
24.45004,-77.72874,2.4,Sand & seagrass,Flats
24.44659,-77.72935,2.7,Sand & seagrass,Flats
24.44368,-77.72961,3,Sand & seagrass,Flats
24.45567,-77.72871,2.2,Sand & seagrass,Flats
24.4533,-77.72861,2.3,Sand & seagrass,Flats
24.45004,-77.72874,2.4,Sand & seagrass,Flats
24.44659,-77.72935,2.2,Sand & seagrass,Flats
24.44368,-77.72961,2.6,Sand & seagrass,Flats
24.45567,-77.72871,2.1,Sand & seagrass,Flats
24.4533,-77.72861,2.3,Sand & seagrass,Flats
24.45004,-77.72874,2.3,Sand & seagrass,Flats
24.44659,-77.72935,2.2,Sand & seagrass,Flats
24.44368,-77.72961,2.5,Sand & seagrass,Flats
24.49825,-77.70164,2.8,Sand & seagrass,Back reef
24.49826,-77.70461,2.6,Sand & seagrass,Flats
24.49826,-77.70982,2.6,Sand & seagrass,Flats
24.49849,-77.71199,2.7,Sand & seagrass,Flats
24.4982,-77.7147,2.4,Sand & seagrass,Flats
24.49825,-77.70164,2.5,Sand & seagrass,Back reef
24.49826,-77.70461,2.3,Sand & seagrass,Flats
24.49826,-77.70982,2.5,Sand & seagrass,Flats
24.49849,-77.71199,3.4,Sand & seagrass,Flats
24.4982,-77.7147,2.1,Sand & seagrass,Flats
24.49825,-77.70164,2.5,Sand & seagrass,Back reef
24.49826,-77.70461,2.5,Sand & seagrass,Flats
24.49826,-77.70982,2.5,Sand & seagrass,Flats
24.49849,-77.71199,2.7,Sand & seagrass,Flats
24.4982,-77.7147,2.1,Sand & seagrass,Flats
24.40769,-77.74472,0.2,Sand & seagrass,Flats
24.40769,-77.74472,0.8,Sand & seagrass,Flats
24.40769,-77.74472,0.7,Sand & seagrass,Flats
24.40882,-77.74168,1.5,Sand & seagrass,Channel
24.40727,-77.74744,1.8,Sand & seagrass,Flats
24.40511,-77.7481,13,Sand & seagrass,Flats
24.40769,-77.74472,0.2,Sand & seagrass,Flats
24.40882,-77.74168,1.7,Sand & seagrass,Flats
24.40727,-77.74744,1.5,Sand & seagrass,Channel
24.40769,-77.74472,0.2,Sand & seagrass,Flats
24.40511,-77.7481,1,Sand & seagrass,Flats
24.40882,-77.74168,1.6,Sand & seagrass,Channel
24.41538,-77.78814,4.6,Silt,Flats
24.41371,-77.79118,4.9,Silt,Flats
24.41247,-77.79342,5.8,Silt,Flats
24.41081,-77.79616,4.5,Silt,Flats
24.40973,-77.79861,4.7,Silt,Flats
24.40849,-77.80079,2.3,Silt,Flats
24.41538,-77.78814,4.8,Silt,Flats
24.41371,-77.79118,5.3,Silt,Flats
24.41247,-77.79342,5.5,Silt,Flats
24.41081,-77.79616,5.2,Silt,Channel
24.40973,-77.79861,4.9,Silt,Flats
24.40849,-77.80079,2,Silt,Channel
24.41538,-77.78814,5.2,Silt,Flats
24.41371,-77.79118,5.8,Silt,Flats
24.41247,-77.79342,4.7,Silt,Channel
24.41081,-77.79616,5.2,Silt,Flats
24.40973,-77.79861,3,Silt,Flats
24.40849,-77.80079,2,Silt,Flats
24.41538,-77.78814,4.9,Silt,Channel
24.41371,-77.79118,5,Silt,Flats
24.41247,-77.79342,4.7,Silt,Flats
24.48464,-77.72151,1.6,Sand & seagrass,Flats
24.48306,-77.72273,1.8,Sand & seagrass,Flats
24.48182,-77.72454,1.3,Sand & seagrass,Flats
24.48087,-77.72562,2.2,Sand & seagrass,Flats
24.47983,-77.72736,1.6,Sand & seagrass,Flats
24.48464,-77.72151,1.7,Sand & seagrass,Flats
24.48306,-77.72273,1.7,Sand & seagrass,Flats
24.48182,-77.72454,1.5,Sand & seagrass,Flats
24.48087,-77.72562,1.7,Sand & seagrass,Flats
24.47983,-77.72736,1.8,Sand & seagrass,Flats
